id	logFC	AveExpr	t	P.Value	adj.P.Val	B	Mean_NR	Mean_R
COLEC11	-0.335224509706696	5.24336206610796	-4.54284248147033	1.32271335512711e-05	0.172384010246404	2.2591673245615	5.410974	5.075750
PARP9	0.429508628599812	8.01623290227987	4.51059050488855	1.50691909826831e-05	0.172384010246404	2.15993753874321	7.801479	8.230987
USP18	0.526986311455047	5.91426319110174	4.31241279981476	3.31399519949416e-05	0.25273632056409	1.56048182316332	5.650770	6.177756
TNFSF8	0.306621201968648	5.13724488473254	4.12168085064342	6.9226656459082e-05	0.362247227724253	1.00090225048902	4.983934	5.290555
WISP3	-0.646253339281356	3.81862150413781	-4.06173881351046	8.68639329092025e-05	0.362247227724253	0.828698310764559	4.141748	3.495495
RSAD2	0.804144520431695	5.98772285465517	3.97228350690011	0.000121378142895063	0.362247227724253	0.575055561677397	5.585651	6.389795
CMPK2	0.666477231720679	7.31750039494639	3.80693235359816	0.000222305692100612	0.362247227724253	0.117048751692876	6.984262	7.650739
CYBB	0.539333942131715	6.79942515319227	3.78490789652626	0.000240648062487917	0.362247227724253	0.0571278507718898	6.529758	7.069092
TAC1	-0.841774533574992	3.49945107482183	-3.77029629594267	0.000253600443302561	0.362247227724253	0.017517701542781	3.920338	3.078564
BATF2	0.433004541521981	7.59016167972852	3.76355399078223	0.000259797814063367	0.362247227724253	-0.000721237042079714	7.373659	7.806664
TUFT1	-0.247103559105311	8.31632827536095	-3.75377505434595	0.000269042355492573	0.362247227724253	-0.0271313257757813	8.439880	8.192776
KIF26A	0.372106768538549	6.04733821124544	3.71851159336877	0.000305038253416295	0.362247227724253	-0.1219395028323	5.861285	6.233392
RBP4	-0.914124196522643	6.96326397217763	-3.71262434785635	0.000311475792767952	0.362247227724253	-0.137702181302075	7.420326	6.506202
UBE2L6	0.376024570896284	8.80976533047518	3.66124268882764	0.000373390866168841	0.362247227724253	-0.274470819502979	8.621753	8.997778
SPIRE2	-0.281906510834083	7.2240258661476	-3.65589897740353	0.00038046016743687	0.362247227724253	-0.28861179480479	7.364979	7.083073
